start,end,text,speaker,sentiment_score,sentiment_confidence,hook_score,hook_confidence
0.0,3.24," The following is a conversation with Jack Weatherford,",SPEAKER_01,4,0.4115,,
3.24,5.32," anthropologist and historian,",SPEAKER_01,5,0.336,,
5.32,9.8, specializing in Genghis Khan and the Mongol Empire.,SPEAKER_01,4,0.4449,,
9.8,12.4, He has written a legendary book on this topic,SPEAKER_01,5,0.6852,,
12.4,15.4, titled Genghis Khan and the Making of the Modern World.,SPEAKER_01,5,0.3773,,
15.4,17.88," And he has written many other books,",SPEAKER_01,5,0.4167,,
17.88,19.68," including Emperor of the Seas,",SPEAKER_01,5,0.4599,,
19.68,21.84," Kublai Khan and the Making of China,",SPEAKER_01,5,0.4104,,
21.84,24.04," Genghis Khan and the Quest for God,",SPEAKER_01,5,0.4528,,
24.04,26.88," The Secret History of the Mongol Queens,",SPEAKER_01,5,0.4934,,
26.88,29.0, and other excellent books.,SPEAKER_01,5,0.8763,,
29.04,32.4," I've gotten to know Jack more after this conversation,",SPEAKER_01,5,0.3506,,
32.4,35.4, and I cannot speak highly enough about him.,SPEAKER_01,2,0.4832,,
35.4,39.56," He's a truly brilliant, thoughtful and kind soul.",SPEAKER_01,5,0.9082,,
39.56,43.0, This was a huge honor and pleasure for me.,SPEAKER_01,5,0.9158,,
43.0,45.24, This is the Lex Friedman podcast.,SPEAKER_01,5,0.4624,,
45.24,47.14," To support it, please check out our sponsors",SPEAKER_01,4,0.377,,
47.14,49.92, in the description and consider subscribing,SPEAKER_01,4,0.334,,
49.92,51.6, to this channel.,SPEAKER_01,5,0.5589,,
51.6,55.44," And now, dear friends, here's Jack Weatherford.",SPEAKER_01,5,0.6632,,
56.44,60.64," Genghis Khan, born in approximately 1162,",SPEAKER_01,5,0.2609,,
60.64,62.24, became the conqueror,SPEAKER_01,5,0.3794,,
62.24,65.44, of the largest contiguous empire in history.,SPEAKER_01,5,0.6276,,
65.44,69.6," But before that, he was a boy named Temujin,",SPEAKER_01,3,0.3502,,
69.6,71.94, who at nine years old lost everything.,SPEAKER_01,1,0.2956,,
71.94,74.44," His father, his tribe, living in poverty,",SPEAKER_01,4,0.3476,,
74.44,77.56, abandoned to the harshness of the Mongolian steppe.,SPEAKER_01,2,0.4431,,
77.56,80.62, From a boy with nothing to the conqueror of the world.,SPEAKER_01,5,0.4668,,
80.62,82.6," So, tell me about this boy.",SPEAKER_01,3,0.3008,,
82.64000000000001,85.68, His childhood and the Mongolian steppe,SPEAKER_01,4,0.4003,,
85.68,87.16000000000001, from which he came from.,SPEAKER_01,5,0.3365,,
87.16000000000001,89.22000000000001," The story of Genghis Khan,",SPEAKER_00,5,0.3659,,
89.22000000000001,92.08," like the story I think of all of us,",SPEAKER_00,4,0.4529,,
92.08,94.64, it doesn't begin at birth.,SPEAKER_00,2,0.3817,,
94.64,95.96, That's the beginning of life.,SPEAKER_00,3,0.293,,
95.96,98.64, The story begins long before birth.,SPEAKER_00,4,0.3258,,
98.64,101.66," And sometimes it can be many generations before,",SPEAKER_00,3,0.3841,,
101.66,103.8, and sometimes only shortly before.,SPEAKER_00,3,0.3871,,
103.8,105.32," But I think with Genghis Khan,",SPEAKER_00,3,0.3898,,
105.32,109.08," a crucial thing is to understand how his parents met,",SPEAKER_00,4,0.4893,,
109.08,112.0, and then how he was conceived.,SPEAKER_00,5,0.4703,,
112.0,114.76," And that is that one day,",SPEAKER_00,1,0.3402,,
116.04,119.8," a cart was coming across the Mongol territory,",SPEAKER_00,2,0.2646,,
119.8,121.96, and only women drove carts.,SPEAKER_00,1,0.3825,,
121.96,124.72," Men rode horses, women also rode horses.",SPEAKER_00,3,0.2697,,
124.72,126.28," While women owned the houses,",SPEAKER_00,2,0.339,,
126.28,128.4," which were called gears, the tents,",SPEAKER_00,3,0.235,,
128.4,130.84," they owned all the household equipment,",SPEAKER_00,5,0.3745,,
130.84,133.32, and so they had to have carts for moving back and forth.,SPEAKER_00,3,0.4151,,
133.32,135.42000000000002," And the fact that a cart was moving,",SPEAKER_00,4,0.2578,,
135.42000000000002,139.16, meant that some woman was moving from one place to another.,SPEAKER_00,2,0.3643,,
139.16,141.34," And in fact, her husband was with her.",SPEAKER_00,5,0.3059,,
141.34,142.9," She was a new bride,",SPEAKER_00,5,0.4517,,
142.9,147.9, and her husband was on a horse close to her.,SPEAKER_00,4,0.3072,,
148.98000000000002,152.78, So what happened was a man named Yasuke.,SPEAKER_00,3,0.3311,,
152.78,155.94," Yasuke, the future father of Genghis Khan,",SPEAKER_00,4,0.3921,,
155.94,157.74, Yasuke was up on a hill.,SPEAKER_00,3,0.2591,,
157.74,159.86, He was hunting with his falcon.,SPEAKER_00,4,0.2871,,
159.86,161.78, The words of the secret history of the Mongols,SPEAKER_00,5,0.5019,,
161.78,162.62, were very clear.,SPEAKER_00,4,0.388,,
162.62,164.96," And he looked down and he saw her,",SPEAKER_00,5,0.2951,,
164.96,166.26," and he could barely glimpse her,",SPEAKER_00,2,0.405,,
166.26,168.34," but he knew she was young,",SPEAKER_00,3,0.4677,,
168.34,169.94, and she was a new bride.,SPEAKER_00,5,0.6631,,
169.94,171.5, And he rode back to camp.,SPEAKER_00,1,0.3284,,
171.5,175.42," He got his two brothers, and they came racing down.",SPEAKER_00,2,0.3579,,
175.42,180.42," And they came, and first the husband of the woman",SPEAKER_00,5,0.396,,
181.3,184.62, looked around and he decided to flee.,SPEAKER_00,1,0.5344,,
184.62,186.62," Not because he was a coward,",SPEAKER_00,1,0.5005,,
186.62,190.42, but he figured he would probably pull the men after him.,SPEAKER_00,3,0.5491,,
190.42,192.56," They would chase him, and they did.",SPEAKER_00,3,0.3304,,
192.56,194.74," They chased him, he went far away.",SPEAKER_00,1,0.3698,,
194.74,197.3," He circled around, he came back.",SPEAKER_00,1,0.5902,,
197.3,200.62, He arrived back at the cart where his wife was.,SPEAKER_00,1,0.2554,,
200.62,202.18, Her name was Erlun.,SPEAKER_00,3,0.2817,,
202.18,206.1," And Erlun had time to think while he was riding around,",SPEAKER_00,3,0.27,,
206.1,208.66000000000005, being chased by the Mongols.,SPEAKER_00,4,0.2567,,
208.66000000000005,212.86, And she decided that it's more important for him to live.,SPEAKER_00,3,0.3848,,
213.74,215.82," And she told him when he came back,",SPEAKER_00,1,0.2236,,
215.82,216.66000000000005, you must flee.,SPEAKER_00,5,0.3483,,
216.66000000000005,220.26," If you stay here, they will kill you and they will take me.",SPEAKER_00,5,0.367,,
220.26,222.22000000000003," But if you flee, they will take me,",SPEAKER_00,3,0.3974,,
222.22000000000003,225.02, but you will have the chance to find another wife.,SPEAKER_00,3,0.4358,,
225.02,226.86, There are many women in the world.,SPEAKER_00,5,0.2996,,
226.86,230.98," You find one and you call her Erlun after my name,",SPEAKER_00,5,0.3301,,
230.98,233.66000000000005, and you remember me when you're with her.,SPEAKER_00,5,0.6056,,
233.66000000000005,236.22000000000003, It was a very dramatic moment.,SPEAKER_00,4,0.31,,
236.22000000000003,240.26," And he rode away, and he looked back and forth,",SPEAKER_00,1,0.2929,,
240.26,242.14," and it said that the pig tails,",SPEAKER_00,2,0.32,,
242.14,244.34, or the braids that were hanging down,SPEAKER_00,2,0.36,,
244.34,247.78000000000003, were whipping back and forth from his chest to his back.,SPEAKER_00,1,0.4583,,
247.78000000000003,252.24," He was divided, obviously, in whether he should go or stay.",SPEAKER_00,2,0.4023,,
252.24,254.58," But the three men were approaching again,",SPEAKER_00,3,0.4327,,
254.58,257.18, and they were headed straight for the cart this time.,SPEAKER_00,1,0.4218,,
257.18,261.42, And they came in and they took Erlun.,SPEAKER_00,5,0.4101,,
262.46000000000004,267.46000000000004, She didn't say a word until her husband was over the ridge.,SPEAKER_00,2,0.3019,,
267.7,269.02000000000004, And when he was over the ridge,SPEAKER_00,2,0.3205,,
269.02000000000004,270.94," and she could no longer see him,",SPEAKER_00,2,0.274,,
270.94,273.7, she began to scream and wail.,SPEAKER_00,2,0.4148,,
273.7,275.58000000000004," And one of the brothers said to her,",SPEAKER_00,5,0.2779,,
276.54,279.74," doesn't matter if you shake the waters out of the river,",SPEAKER_00,3,0.3391,,
279.74,282.54," and if you shake the mountains with your screaming,",SPEAKER_00,5,0.3395,,
282.54,285.34000000000003, you will never see this man again.,SPEAKER_00,5,0.3317,,
285.34000000000003,287.18, And he was right.,SPEAKER_00,5,0.5496,,
287.18,290.62, That was the moment that Genghis Khan's mother,SPEAKER_00,3,0.2324,,
290.62,292.66, and father met.,SPEAKER_00,5,0.5175,,
292.66,296.22, That's the beginning of his story in this kidnapping.,SPEAKER_00,3,0.3196,,
296.22,298.02000000000004, And it's gonna reverberate.,SPEAKER_00,2,0.3595,,
298.02000000000004,302.54," Every detail of it will come back again and again,",SPEAKER_00,5,0.6752,,
302.54,305.68," not only throughout the story of the life of Genghis Khan,",SPEAKER_00,4,0.395,,
305.68,308.38, but it's gonna continue on with the feuds,SPEAKER_00,3,0.4822,,
308.38,312.46000000000004, and the issues caused by it all the way into the future.,SPEAKER_00,5,0.4612,,
313.29999999999995,314.9," And to some extent in certain parts of the world,",SPEAKER_00,4,0.3321,,
314.9,317.14, you could say it still exists.,SPEAKER_00,4,0.3543,,
317.14,322.14, So the meeting is fundamentally sort of a mixture,SPEAKER_01,3,0.4633,,
322.78,327.78, of heartbreak and dark criminal type of kidnapping.,SPEAKER_01,1,0.2912,,
328.5,332.04, And from that is conceived this conqueror,SPEAKER_01,5,0.6375,,
332.04,335.5, of the biggest contiguous empire in history.,SPEAKER_01,5,0.6559,,
335.5,340.1, What I was really interested in was how did this happen?,SPEAKER_00,3,0.2335,,
340.1,342.14, Who was this person?,SPEAKER_00,1,0.5655,,
342.5,345.38," As Wordsworth wrote in his poem,",SPEAKER_00,5,0.3976,,
345.38,347.9," the child is father of the man,",SPEAKER_00,4,0.2532,,
