Start Time (s),End Time (s),Duration (s),Speaker
0.03,9.13,9.1,SPEAKER_01
9.85,42.05,32.2,SPEAKER_01
42.98,55.35,12.37,SPEAKER_01
56.43,86.82,30.39,SPEAKER_01
87.12,114.53,27.41,SPEAKER_00
115.98,148.11,32.13,SPEAKER_00
148.97,150.15,1.18,SPEAKER_00
150.98,179.24,28.26,SPEAKER_00
180.27,209.89,29.62,SPEAKER_00
210.87,212.79,1.92,SPEAKER_00
213.7,219.36,5.66,SPEAKER_00
220.25,237.82,17.57,SPEAKER_00
238.56,251.42,12.86,SPEAKER_00
252.24,261.29,9.05,SPEAKER_00
262.49,267.09,4.6,SPEAKER_00
267.69,275.52,7.83,SPEAKER_00
276.56,284.68,8.12,SPEAKER_00
285.35,286.2,0.85,SPEAKER_00
287.19,299.55,12.36,SPEAKER_00
300.49,316.54,16.05,SPEAKER_00
316.54,335.13,18.59,SPEAKER_01
327.68,328.01,0.33,SPEAKER_00
335.13,337.45,2.32,SPEAKER_00
338.75,356.77,18.02,SPEAKER_00
357.61,359.87,2.26,SPEAKER_00
360.48,363.62,3.14,SPEAKER_00
365.12,377.09,11.97,SPEAKER_00
378.77,381.78,3.01,SPEAKER_00
382.64,410.84,28.2,SPEAKER_00
411.65,414.51,2.86,SPEAKER_00
415.86,429.67,13.81,SPEAKER_00
425.3,425.48,0.18,SPEAKER_01
430.48,450.8,20.32,SPEAKER_00
451.89,476.53,24.64,SPEAKER_00
477.46,478.52,1.06,SPEAKER_00
479.4,481.1,1.7,SPEAKER_00
481.76,488.44,6.68,SPEAKER_00
490.11,493.34,3.23,SPEAKER_00
494.15,513.77,19.62,SPEAKER_00
514.58,517.6,3.02,SPEAKER_00
518.85,561.39,42.54,SPEAKER_00
562.46,563.91,1.45,SPEAKER_00
565.28,570.61,5.33,SPEAKER_00
571.81,583.62,11.81,SPEAKER_00
584.51,585.63,1.12,SPEAKER_00
586.29,591.53,5.24,SPEAKER_00
593.66,594.52,0.86,SPEAKER_00
596.26,598.64,2.38,SPEAKER_00
600.11,608.44,8.33,SPEAKER_00
609.98,624.12,14.14,SPEAKER_00
623.38,623.78,0.4,SPEAKER_01
624.76,626.13,1.37,SPEAKER_00
627.34,641.72,14.38,SPEAKER_00
643.22,662.7,19.48,SPEAKER_00
663.99,669.26,5.27,SPEAKER_00
670.19,673.12,2.93,SPEAKER_00
674.73,697.34,22.61,SPEAKER_00
698.47,706.37,7.9,SPEAKER_00
707.68,714.77,7.09,SPEAKER_00
715.45,722.5,7.05,SPEAKER_00
724.05,733.22,9.17,SPEAKER_00
734.48,736.02,1.54,SPEAKER_01
736.64,751.1,14.46,SPEAKER_00
751.71,754.09,2.38,SPEAKER_00
755.27,783.69,28.42,SPEAKER_00
783.69,792.43,8.74,SPEAKER_01
791.7,799.53,7.83,SPEAKER_00
800.31,801.51,1.2,SPEAKER_00
802.39,831.38,28.99,SPEAKER_00
