start,end,text
0.0,3.24," The following is a conversation with Jack Weatherford,"
3.24,5.32," anthropologist and historian,"
5.32,9.8, specializing in Genghis Khan and the Mongol Empire.
9.8,12.4, He has written a legendary book on this topic
12.4,15.4, titled Genghis Khan and the Making of the Modern World.
15.4,17.88," And he has written many other books,"
17.88,19.68," including Emperor of the Seas,"
19.68,21.84," Kublai Khan and the Making of China,"
21.84,24.04," Genghis Khan and the Quest for God,"
24.04,26.88," The Secret History of the Mongol Queens,"
26.88,29.0, and other excellent books.
29.04,32.4," I've gotten to know Jack more after this conversation,"
32.4,35.4, and I cannot speak highly enough about him.
35.4,39.56," He's a truly brilliant, thoughtful and kind soul."
39.56,43.0, This was a huge honor and pleasure for me.
43.0,45.24, This is the Lex Friedman podcast.
45.24,47.14," To support it, please check out our sponsors"
47.14,49.92, in the description and consider subscribing
49.92,51.6, to this channel.
51.6,55.44," And now, dear friends, here's Jack Weatherford."
56.44,60.64," Genghis Khan, born in approximately 1162,"
60.64,62.239999999999995, became the conqueror
62.239999999999995,65.44, of the largest contiguous empire in history.
65.44,69.6," But before that, he was a boy named Temujin,"
69.6,71.94, who at nine years old lost everything.
71.94,74.44," His father, his tribe, living in poverty,"
74.44,77.56, abandoned to the harshness of the Mongolian steppe.
77.56,80.62, From a boy with nothing to the conqueror of the world.
80.62,82.6," So, tell me about this boy."
82.64000000000001,85.68, His childhood and the Mongolian steppe
85.68,87.16000000000001, from which he came from.
87.16000000000001,89.22000000000001," The story of Genghis Khan,"
89.22000000000001,92.08000000000001," like the story I think of all of us,"
92.08000000000001,94.64000000000001, it doesn't begin at birth.
94.64000000000001,95.96000000000001, That's the beginning of life.
95.96000000000001,98.64000000000001, The story begins long before birth.
98.64000000000001,101.66000000000001," And sometimes it can be many generations before,"
101.66000000000001,103.80000000000001, and sometimes only shortly before.
103.80000000000001,105.32000000000001," But I think with Genghis Khan,"
105.32000000000001,109.08000000000001," a crucial thing is to understand how his parents met,"
109.08000000000001,112.00000000000001, and then how he was conceived.
112.0,114.76," And that is that one day,"
116.04,119.8," a cart was coming across the Mongol territory,"
119.8,121.96000000000001, and only women drove carts.
121.96000000000001,124.72," Men rode horses, women also rode horses."
124.72,126.28," While women owned the houses,"
126.28,128.4," which were called gears, the tents,"
128.4,130.84," they owned all the household equipment,"
130.84,133.32, and so they had to have carts for moving back and forth.
133.32,135.42000000000002," And the fact that a cart was moving,"
135.42000000000002,139.16, meant that some woman was moving from one place to another.
139.16,141.34," And in fact, her husband was with her."
141.34,142.9," She was a new bride,"
142.9,147.9, and her husband was on a horse close to her.
148.98000000000002,152.78, So what happened was a man named Yasuke.
152.78,155.94," Yasuke, the future father of Genghis Khan,"
155.94,157.74, Yasuke was up on a hill.
157.74,159.86, He was hunting with his falcon.
159.86,161.78, The words of the secret history of the Mongols
161.78,162.62, were very clear.
162.62,164.96," And he looked down and he saw her,"
164.96,166.26," and he could barely glimpse her,"
166.26,168.34," but he knew she was young,"
168.34,169.94, and she was a new bride.
169.94,171.5, And he rode back to camp.
171.5,175.42," He got his two brothers, and they came racing down."
175.42,180.42," And they came, and first the husband of the woman"
181.3,184.62, looked around and he decided to flee.
184.62,186.62," Not because he was a coward,"
186.62,190.42, but he figured he would probably pull the men after him.
190.42,192.56," They would chase him, and they did."
192.56,194.74," They chased him, he went far away."
194.74,197.3," He circled around, he came back."
197.3,200.62, He arrived back at the cart where his wife was.
200.62,202.18, Her name was Erlun.
202.18,206.10000000000002," And Erlun had time to think while he was riding around,"
206.10000000000002,208.66000000000003, being chased by the Mongols.
208.66000000000003,212.86, And she decided that it's more important for him to live.
213.74,215.82000000000002," And she told him when he came back,"
215.82000000000002,216.66000000000003, you must flee.
216.66000000000003,220.26000000000002," If you stay here, they will kill you and they will take me."
220.26000000000002,222.22000000000003," But if you flee, they will take me,"
